"name","sku","price"
"Ergonomic Rubber Table","m63e5q","734.00"
"Refined Rubber Hat","5liilc","276.00"
"Rustic Concrete Shirt","4ed6xe","648.00"
"Handmade Metal Fish","5yplfz","644.00"
"Handcrafted Plastic Car","ilf409","425.00"
"Awesome Cotton Bacon","0vcem5","353.00"
"Handmade Plastic Sausages","9ng3jo","922.00"
"Gorgeous Cotton Towels","bztjyf","585.00"
"Incredible Soft Pizza","pzs5t6","925.00"
"Handcrafted Cotton Chicken","jqf8rp","922.00"
"Rustic Metal Bacon","k82o6x","904.00"
"Handmade Granite Tuna","18cq8t","717.00"
"Sleek Wooden Table","ftaixu","991.00"
"Small Frozen Ball","cf4c7q","94.00"
"Unbranded Granite Computer","cd2etj","648.00"
"Refined Metal Shirt","mk84p4","266.00"
"Awesome Fresh Keyboard","3tehe0","236.00"
"Gorgeous Granite Chicken","uuihuc","67.00"
"Generic Plastic Pizza","qafpme","530.00"
"Licensed Steel Chips","l3x00k","405.00"
"Unbranded Cotton Salad","oo203t","576.00"
"Small Steel Chips","9j2riz","288.00"
"Refined Plastic Sausages","i9i2vw","207.00"
"Unbranded Wooden Table","syytm8","656.00"
"Small Wooden Keyboard","63n4k9","681.00"
"Incredible Plastic Cheese","wqaghn","876.00"
"Ergonomic Metal Car","a4zwln","680.00"
"Licensed Granite Soap","0j5hl2","866.00"
"Practical Rubber Salad","3x0crg","839.00"
"Sleek Rubber Soap","5nwx3f","877.00"
"Incredible Wooden Bacon","p8m730","487.00"
"Practical Metal Bacon","u0zrnl","288.00"
"Sleek Soft Keyboard","46ll32","676.00"
"Generic Granite Keyboard","ogjl4c","648.00"
"Ergonomic Steel Pizza","bhx1ts","673.00"
"Awesome Plastic Hat","tct24w","500.00"
"Unbranded Cotton Shirt","kswome","851.00"
"Handmade Metal Pants","84gxcg","711.00"
"Rustic Granite Table","p83out","625.00"
"Intelligent Wooden Ball","p2lghp","730.00"
"Tasty Cotton Mouse","yazveo","454.00"
"Gorgeous Cotton Bacon","h4e2bd","416.00"
"Unbranded Fresh Salad","za19cd","688.00"
"Handcrafted Plastic Shoes","6dmikv","728.00"
"Practical Rubber Keyboard","8sii64","642.00"
"Handcrafted Fresh Cheese","pz3668","208.00"
"Handmade Cotton Soap","st712g","810.00"
"Handmade Metal Shirt","on8ybs","947.00"
"Refined Soft Table","11c4b0","184.00"
"Unbranded Metal Car","hm53cg","251.00"
"Awesome Metal Computer","65pubp","380.00"
"Intelligent Granite Chips","g1nukn","682.00"
"Handmade Fresh Pants","lbmk4o","627.00"
"Intelligent Rubber Tuna","ofsct6","897.00"
"Licensed Soft Hat","dn70c8","197.00"
"Rustic Concrete Gloves","hybve6","569.00"
"Rustic Cotton Keyboard","93mwh5","566.00"
"Gorgeous Plastic Hat","yq9o9v","80.00"
